word	partOfSpeech	English	source_url
profecía	noun	prophecy	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
experimento	noun	experiment	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
mío	pron	mine; of mine	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
debate	noun	debate	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
fundamental	adjective	fundamental	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
hospital	noun	hospital	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
precisar	verb	to state, specify	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
factor	noun	factor	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
apariencia	noun	appearance (semblance, or apparent likeness)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
astronomía	noun	astronomy	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
atender	verb	to pay attention to (something)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
bruto	adjective	brute	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
legal	adjective	legal	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
locura	noun	madness, craziness	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
marina	noun	navy	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
kilo	noun	kilo (kilogram)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
original	adjective	original	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
tribunal	noun	court	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
verbal	adjective	verbal	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
audiovisual	adjective	audiovisual	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
dimensión	noun	dimension (a single aspect of a given thing)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
liberal	adjective	liberal	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
perspectiva	noun	perspective	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
nosotros	pronoun	we (masculine plural)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
ocasionar	verb	to cause	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
variable	adjective	variable	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
vos	pronoun	you	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
digital	adjective	foxglove (plant, flower)	https://cental.uclouvain.be/cefrlex/ + https://kaikki.org
